,name,sku,price,text,categories,units,weight,total_weight
0,Orezza Sparkling - 100cl,BEAG0032_UN,4.25,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
1,Chilled Pêssego/Alecrim by Lev - Pack 12x,BEAG0165_12_CX,34.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
2,Chilled Pêssego/Alecrim by Lev - Pack 30x,BEAG0165_30_CX,75.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
3,Plano Imunidade,KITPI0001,37.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}, {'id': 20, 'name': 'Chás Terapêuticos', 'slug': 'chas-terapeuticos'}, {'id': 18, 'name': 'Kits', 'slug': 'kits'}, {'id': 19, 'name': 'Suplementos &amp; Elixires', 'slug': 'suplementos-elixires'}]",1,,
4,ChariTea Mint Pack 8 Unidades,BEAG0153_CX,31.50,330 ml,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",330,,
5,ChariTea Mint,BEAG0153_UN,4.50,330 ml,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",330,,
6,Rosemary Water Sparkling 75 cl,BEAG0030_UN,6.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
7,"L'O Água Mineral Natural 1,5L",,2.50,"1,5 l","[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,5,
8,Plano Detox Lev - 7 dias,BEAG0047_CX,25.00,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}, {'id': 68, 'name': 'Black Detox Water', 'slug': 'black-detox-water'}]",1,,
9,Oxygen Water,BEAG0021_UN,3.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
10,Lauretana 150cl,BEAG0012_UN,2.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
11,Ícelandic Glacial,BEAG0007_UN,4.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
12,Ícelandic Glacial - 500ml,BEAG0164_UN,2.50,,"[{'id': 17, 'name': 'Águas &amp; Bebidas sem álcool', 'slug': 'aguas-bebidas-sem-alcool'}]",1,,
